1,1
1,2
1,3
2,4
2,5
2,6
3,7
3,8
3,9
4,10
4,11
4,12
5,1
5,13
5,3
6,14
6,5
6,15
7,16
7,8
7,17
8,18
8,19
8,20
9,21
9,22
9,23
10,4
10,24
10,25
11,10
11,26
11,27
12,7
12,28
12,29
13,30
13,31
13,2
14,32
14,33
14,34
15,4
15,35
15,36
16,37
16,38
16,39
17,40
17,41
17,42
18,18
18,43
18,44
19,45
19,46
19,47
20,48
20,49
20,50
21,48
21,51
21,52
22,4
22,53
22,54
23,7
23,55
23,56
24,57
24,58
24,59
25,60
25,61
25,62
26,63
26,13
26,64
27,65
27,66
27,45
28,7
28,55
28,67
29,68
29,69
29,70
30,14
30,71
30,13
31,72
31,73
31,74
32,75
32,31
32,18
33,7
33,76
33,67
34,77
34,78
34,79
35,4
35,80
35,81
36,82
36,83
36,84
37,85
37,86
37,87
38,88
38,89
38,90
39,15
39,91
39,14
40,92
40,24
40,93
41,94
41,95
41,80
42,88
42,96
42,36
43,97
43,98
43,99
44,100
44,101
44,30
45,102
45,103
45,45
46,104
46,105
46,17
47,106
47,107
47,108
48,109
48,110
48,111
49,112
49,113
49,114
50,115
50,116
50,52
51,117
51,118
51,119
52,120
52,121
52,119
53,122
53,123
53,119
54,124
54,125
54,17
55,126
55,127
55,128
56,129
56,130
56,131
57,132
57,133
57,119
58,134
58,135
58,103
59,136
59,137
59,138
60,58
60,14
60,139
