1,1,1,Hache en silex,"Pierre forte, coupée par nos mains, pour chasser et protéger. Elle fend bois et bête, garde tribu en sécurité.","1,5",-3500,15,,
2,2,2,Collier en os et dents de loup,"Collier de victoire, dents de loup pour montrer force. Porté pour rappeler courage et survie face à la bête.","0,8",-3480,30,,
3,3,3,Cape en peau de bison,"Peau de bison, forte contre vent et froid. Chaude pour les nuits, protège corps et os dans les plaines.",2,-3475,8,,
4,3,4,Pot en argile cuite,"Mains d'anciens façonnent argile. Pot garde grain et eau, essentiel pour vie sédentaire de tribu.",1,-3460,20,,
5,1,5,Lance en bois avec pointe en pierre,"Bois et pierre, assemblés pour défendre et chasser. Arme de choix pour guerrier de tribu.","1,2",-3440,25,,
6,3,6,Flûte en os,"Os transformé en chant. Flûte appelle esprits, unit tribu sous étoiles et feu.","0,7",-3430,40,,
7,3,7,Sac en peau de chèvre,"Sac de peau pour porter fruits de terre, trouvailles de voyage. Fort pour grandes migrations.","0,9",-3470,10,,
8,2,3,Peinture rupestre sur plaque de pierre,"Pierre et bois, outils pour faire feu. Feu pour nuit et froid, cadeau des esprits à tribu.","2,5",-3485,5,,
9,1,5,Kit d'allumage de feu,"Ivoire de mammouth, sculpté en bijoux. Raconte grandeur de chasse, montre force de tribu face aux géants.","0,5",-3490,50,,
10,2,2,Réplique de bijoux en ivoire de mammouth,Ces bijouxfaçonnés dans l'ivoire de mammouthracontent l'histoire de notre domination sur les géants de la glace.,3,-3500,12,,
11,4,8,Amphore en céramique,"Œuvre exquise de notre céramique, créée pour les libations sacrées lors de festivités grandioses. Chaque amphore est une compagne fidèle dans les cérémonies où le vin coule en abondance.",25,-450,15,,
12,4,9,Tunique en lin,"Légère comme la brise d'été, cette tunique de lin finement tissée capture l'essence de la beauté athénienne. Idéale pour les réunions en plein air, elle est le vêtement préféré des citoyens érudits et éloquents.",20,-440,20,,
13,6,8,Lampe à huile en terre cuite,"Forgée de la terre bénie de notre cité, cette lampe dispense la lumière d'Hestia au sein de chaque demeure. Son éclat guide les prières nocturnes et illumine les passages des temples sacrés.","7,5",-430,22,,
14,5,10,Statuette de déesse en bronze,"Sculptée pour faire honneur aux soldats qui protègent notre cité, cette statuette en bronze est l'incarnation même de la majesté. Elle trône au cœur des foyers comme gardienne de notre héritage.",50,-440,8,,
15,4,11,Collier en perles de verre,"Ce collier, où chaque perle soufflée capture l'éther du ciel et l'abysse de la mer, est une parure de noblesse. Porté par les élites, il reflète la lumière des astres et l'opulence de notre culture.","12,5",-450,18,,
16,4,12,Sandales en cuir,"Ciselées pour les sages, ces sandales en cuir sont taillées pour arpenter les avenues de marbre. Elles sont le choix des poètes qui chantent nos exploits et des philosophes qui méditent sur les vérités éternelles.",15,-455,25,,
17,5,13,Couronne de laurier en métal doré,"Symbole de triomphe et de gloire, cette couronne de laurier est accordée par Apollon aux conquérants. Elle couronne les têtes des héros, récompensant leurs victoires et célébrant leur ascension vers l'immortalité.",30,-460,5,,
18,5,11,Fresque murale portable,"Une fresque vibrante qui transporte les légendes de notre peuple à travers les âges. Portative, elle permet de diffuser les récits mythiques et les enseignements des ancêtres, enrichissant chaque génération nouvelle.",60,-470,4,,
19,6,13,Parchemin écrit à la main,"Inscrit avec soin par les scribes les plus érudits, ce parchemin détient les lois et la sagesse de notre cité. Il est un trésor de connaissances, une relique sacrée portant les mots des grands penseurs et des législateurs.","22,5",-475,9,,
